20140909,329.7500,341.7600,329.1800,341.6100,4646800
20140910,331.3300,334.9800,328.8200,334.3000,3797400
20140911,330.5200,333.0100,326.3900,329.9400,2720200
20140912,331.1900,332.8900,328.7900,329.5600,3429300
20140915,323.8900,331.3300,319.0000,330.9100,4000400
20140916,327.7600,329.4800,320.1000,321.0700,3259900
20140917,324.0000,328.0000,321.5200,327.7600,4136000
20140918,325.0000,327.1000,323.7100,325.4400,2576900
20140919,331.3200,332.7600,325.5700,327.6000,6886200
20140922,324.5000,329.4900,321.0600,328.4900,3109700
20140923,323.6300,327.6000,321.2500,322.4600,2352600
20140924,328.2100,329.4400,319.5600,324.1700,2642200
20140925,321.9300,328.5400,321.4000,327.9900,2928800
20140926,323.2100,323.5000,317.6400,320.6000,3638000
20140929,321.8200,323.7500,319.0000,320.5000,1924600
20140930,322.4400,323.4300,318.5100,321.3600,2636200
20141001,317.4600,322.1700,315.5500,322.0400,3089100
20141002,318.4100,318.5300,311.3100,316.9200,3553900
20141003,322.7400,325.1600,319.5300,320.3600,3037400
20141006,322.2000,324.1300,319.6000,323.5000,2290300
20141007,316.9800,322.0000,316.6700,319.4300,2365400
20141008,322.7000,324.1100,314.1400,316.5800,3452800
20141009,315.3700,322.2700,314.5200,321.4900,3587900
20141010,311.3900,317.7700,311.3800,314.0200,3681900
20141013,306.4500,313.2000,303.4700,309.8700,4363900
20141014,308.3100,312.2400,305.7500,308.0000,3385800
20141015,305.9700,307.9000,299.1000,304.3500,5343900
20141016,302.8600,306.8200,293.8300,293.8300,4731300
20141017,303.6400,309.2000,302.7200,307.1500,4405100
20141020,306.2100,306.5300,302.0200,302.9500,3234500
20141021,315.3300,315.6400,307.0700,309.9000,3559300
20141022,312.9700,318.9800,312.6400,315.4300,3125900
20141023,313.1800,316.8000,311.4000,313.4000,9038200
20141024,287.0600,293.8100,284.0000,284.4000,19801100
20141027,289.9700,290.4200,285.0200,285.7000,5950600
20141028,295.5900,298.0000,289.7600,289.7600,5572600
20141029,294.1200,299.6100,293.0700,299.1100,4881900
20141030,299.0700,299.7400,292.3600,293.9800,4048200
20141031,305.4600,305.7200,301.5000,305.1500,4550700
20141103,305.7200,308.0100,303.2400,306.2400,3242500
20141104,302.8100,304.2500,300.1700,303.9900,3427400
20141105,296.5200,304.0000,294.1600,303.0100,4674500
20141106,296.6400,297.0000,292.2900,296.6900,3758100
20141107,299.8600,299.9900,296.2900,297.8200,2647400
20141110,305.1100,305.8000,300.0000,300.0000,2809100
20141111,312.0100,312.3800,303.6500,305.9400,3803600
20141112,311.5100,312.5800,308.7900,310.7500,2181700
20141113,316.4800,317.8900,311.5100,312.0000,3685700
20141114,327.8200,332.8800,316.4000,317.1200,8876300
20141117,323.0500,328.0000,318.0300,326.4400,4784600
20141118,324.9300,329.5600,323.2500,323.9900,3549500
20141119,326.5400,328.4000,324.0200,327.2500,3280800
20141120,330.5400,332.6700,323.3300,324.0000,3435000
20141121,332.6300,338.3300,331.4700,335.4200,4466000
20141124,335.6400,337.3900,333.6000,334.7800,2753700
20141125,335.0400,336.3300,331.2800,335.2700,2561200
20141126,333.5700,334.6500,331.7500,333.7800,1983600
20141128,338.6400,341.2600,336.0300,336.0300,3051800
20141201,326.0000,340.6400,325.9300,338.1200,4944900
20141202,326.3100,327.9300,323.2500,327.5000,2783500
20141203,316.5000,326.7700,314.3600,325.7300,5681000
20141204,316.9300,318.5900,313.4700,315.5300,3290300
20141205,312.6300,316.9300,310.8400,316.8000,3265200
20141208,306.6400,316.5600,304.8200,311.5700,3639200
20141209,312.5000,313.6400,301.1400,302.9900,4049500
20141210,305.8400,313.1900,304.6800,312.0000,3245900
20141211,307.3600,312.6400,306.0100,307.8900,3262900
20141212,307.3200,310.6400,303.0100,303.9900,3153500
20141215,306.0700,310.8600,302.1500,308.8700,3841600
20141216,295.0600,304.4900,295.0100,304.3500,6501300
20141217,298.8800,299.6700,293.0300,296.3700,4433500
20141218,297.7300,304.5000,293.2500,304.0100,7738100
20141219,299.9000,301.5400,295.5200,296.9100,8709100
20141222,306.5400,307.3600,301.9400,301.9400,4003800
20141223,306.2900,307.4900,303.2500,306.9800,2713700
20141224,303.0300,307.0000,302.8800,306.3800,1513800
20141226,309.0900,310.7800,303.8100,305.0000,2887500
20141229,312.0400,314.2700,306.5800,307.8500,3009000
20141230,310.3000,313.9400,309.3400,309.9100,2093000
20141231,310.3500,312.9800,310.0100,311.5500,2048000
20150102,308.5200,314.7500,306.9600,312.5800,2783200
